task_id,agent_id,run_type,metric,n,mean,std,se,ci95_low,ci95_high,min,max
front_end_spread_widening_v0,extra_trees_baseline,baseline,score.overall_score,3,0.508542,0.01340514244609134,0.007739462599776113,0.4752390924331634,0.5418449075668367,0.49887,0.523844
front_end_spread_widening_v0,extra_trees_baseline,baseline,score.balanced_accuracy,3,0.508542,0.01340514244609134,0.007739462599776113,0.4752390924331634,0.5418449075668367,0.49887,0.523844
front_end_spread_widening_v0,extra_trees_baseline,baseline,score.roc_auc,3,0.5292793333333333,0.002964269612119177,0.0017114218585076344,0.521915085076175,0.5366435815904916,0.526186,0.532095
front_end_spread_widening_v0,logistic_regression_baseline,baseline,score.overall_score,3,0.542971,0.0,0.0,0.542971,0.542971,0.542971,0.542971
front_end_spread_widening_v0,logistic_regression_baseline,baseline,score.balanced_accuracy,3,0.542971,0.0,0.0,0.542971,0.542971,0.542971,0.542971
front_end_spread_widening_v0,logistic_regression_baseline,baseline,score.roc_auc,3,0.5363,0.0,0.0,0.5363,0.5363,0.5363,0.5363
front_end_spread_widening_v0,previous_day_direction_baseline,baseline,score.overall_score,3,0.540203,0.0,0.0,0.540203,0.540203,0.540203,0.540203
front_end_spread_widening_v0,previous_day_direction_baseline,baseline,score.balanced_accuracy,3,0.540203,0.0,0.0,0.540203,0.540203,0.540203,0.540203
front_end_spread_widening_v0,previous_day_direction_baseline,baseline,score.roc_auc,3,0.540203,0.0,0.0,0.540203,0.540203,0.540203,0.540203
front_end_spread_widening_v0,random_forest_baseline,baseline,score.overall_score,3,0.5106076666666667,0.0075067745625756795,0.004334038314448904,0.49195829979959305,0.5292570335337403,0.503426,0.518402
front_end_spread_widening_v0,random_forest_baseline,baseline,score.balanced_accuracy,3,0.5106076666666667,0.0075067745625756795,0.004334038314448904,0.49195829979959305,0.5292570335337403,0.503426,0.518402
front_end_spread_widening_v0,random_forest_baseline,baseline,score.roc_auc,3,0.5180856666666667,0.0031867956215191314,0.0018398973099363913,0.5101685885420104,0.5260027447913229,0.515407,0.52161
front_end_spread_widening_v0,treasury_front_end_research_sweep_env_agent,agent,score.overall_score,3,0.542971,0.0,0.0,0.542971,0.542971,0.542971,0.542971
front_end_spread_widening_v0,treasury_front_end_research_sweep_env_agent,agent,score.balanced_accuracy,3,0.542971,0.0,0.0,0.542971,0.542971,0.542971,0.542971
